YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2019,5,27498,27197,cargurus 
2016,3,91455,14700,cargurus 
2019,4,47618,23897,cargurus 
2018,6,72006,23112,cargurus 
2015,9,84644,15966,cargurus 
2017,7,46000,22850,autotraders 
2019,5,33583,29997,cargurus 
2019,5,15750,37500,autotraders
2017,7,35615,25999,autotraders
2018,6,73000,14891,craigslist 
2015,9,87000,19980,craigslist 
2017,7,103000,14950,craigslist 
2018,6,73000,14891,cargurus 
2015,9,34000,19985,craigslist 
2018,6,48745,22899,autotraders 
2019,5,59084,25447,cargurus 